,category,text,clean_text,clean_text_lem,clean_text_stem
10,Watches,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys Calibro SW-125 Analog-Digital Watch  - For Men, Boys
                         Price: Rs. 699
				
			CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.
CALIBRO presents MTG Black Dial Round Watch. This is a fashionable watch from MTG that adds to your style statement. This brand is known for its usage of quality material in making appealing watches. It understands the needs of youth so well that it is able to present wide range of watches to its customers. The variety in design, style and youthful approach is very well executed by this brand. Get one and see how brilliantly it leads other brands in style, finish and everything else that matters.",calibro watch men boys calibro watch men boys calibro presents mtg black dial round watch fashionable watch mtg adds style statement known usage quality material making appealing watches understands needs youth well able present wide range watches customers variety design style youthful approach well executed get one see brilliantly leads brands style finish everything else matters calibro presents mtg black dial round watch fashionable watch mtg adds style statement known usage quality material making appealing watches understands needs youth well able present wide range watches customers variety design style youthful approach well executed get one see brilliantly leads brands style finish everything else matters,calibro watch men boy calibro watch men boy calibro present mtg black dial round watch fashionable watch mtg add style statement known usage quality material making appealing watch understands need youth well able present wide range watch customer variety design style youthful approach well executed get one see brilliantly lead brand style finish everything else matter calibro present mtg black dial round watch fashionable watch mtg add style statement known usage quality material making appealing watch understands need youth well able present wide range watch customer variety design style youthful approach well executed get one see brilliantly lead brand style finish everything else matter,calibro watch men boy calibro watch men boy calibro present mtg black dial round watch fashion watch mtg add style statement known usag qualiti materi make appeal watch understand need youth well abl present wide rang watch custom varieti design style youth approach well execut get one see brilliantli lead brand style finish everyth els matter calibro present mtg black dial round watch fashion watch mtg add style statement known usag qualiti materi make appeal watch understand need youth well abl present wide rang watch custom varieti design style youth approach well execut get one see brilliantli lead brand style finish everyth els matter
11,Watches,"Cartier W6701005 Analog Watch  - For Boys, Men Cartier W6701005 Analog Watch  - For Boys, Men - Buy Cartier W6701005 Analog Watch  - For Boys, Men  W6701005 Online at Rs.201000 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",cartier analog watch boys men cartier analog watch boys men cartier analog watch boys men online india great discounts day replacement guarantee,cartier analog watch boy men cartier analog watch boy men cartier analog watch boy men online india great discount day replacement guarantee,cartier analog watch boy men cartier analog watch boy men cartier analog watch boy men onlin india great discount day replac guarante
12,Watches,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men Lois Caron LCS-4032 Analog Watch  - For Boys, Men - Buy Lois Caron LCS-4032 Analog Watch  - For Boys, Men  LCS-4032 Online at Rs.399 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",lois caron analog watch boys men lois caron analog watch boys men lois caron analog watch boys men online india great discounts day replacement guarantee,lois caron analog watch boy men lois caron analog watch boy men lois caron analog watch boy men online india great discount day replacement guarantee,loi caron analog watch boy men loi caron analog watch boy men loi caron analog watch boy men onlin india great discount day replac guarante
13,Watches,"Titan 1639SL03 Analog Watch  - For Boys, Men Titan 1639SL03 Analog Watch  - For Boys, Men - Buy Titan 1639SL03 Analog Watch  - For Boys, Men  1639SL03 Online at Rs.1695 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",titan analog watch boys men titan analog watch boys men titan analog watch boys men online india great discounts day replacement guarantee,titan analog watch boy men titan analog watch boy men titan analog watch boy men online india great discount day replacement guarantee,titan analog watch boy men titan analog watch boy men titan analog watch boy men onlin india great discount day replac guarante
14,Watches,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls - Buy Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls  Megnet_Led_Sport_BlackRed1 Online at Rs.200 in India Only at Flipkart.com. Led Watch, Sports Led, Megnet watch, Fresh arrival, latest, fancy, Srushti, GirlsWatch, Men, Women, Boys, Wrist Watches - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",srushti art jewelry digital watch men women boys girls srushti art jewelry digital watch men women boys girls srushti art jewelry digital watch men women boys girls online india led watch sports led watch fresh latest fancy srushti men women boys wrist watches great discounts day replacement guarantee,srushti art jewelry digital watch men woman boy girl srushti art jewelry digital watch men woman boy girl srushti art jewelry digital watch men woman boy girl online india led watch sport led watch fresh latest fancy srushti men woman boy wrist watch great discount day replacement guarantee,srushti art jewelri digit watch men women boy girl srushti art jewelri digit watch men women boy girl srushti art jewelri digit watch men women boy girl onlin india led watch sport led watch fresh latest fanci srushti men women boy wrist watch great discount day replac guarante
15,Watches,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys Escort E-1700-906_Blk Analog Watch  - For Men, Boys
                         Price: Rs. 1,829
				
			If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.
If you have it, flaunt it! If this is your mantra then hit the streets in style wearing this black coloured analog watch for men from the house of Escort. The casing adds more appeal to this timepiece that can be worn on a rainy day, all thanks to its water resistance upto 10 atm.",escort analog watch men boys escort analog watch men boys flaunt mantra hit streets style wearing black coloured analog watch men house escort casing adds appeal timepiece worn rainy day thanks water resistance upto atm flaunt mantra hit streets style wearing black coloured analog watch men house escort casing adds appeal timepiece worn rainy day thanks water resistance upto atm,escort analog watch men boy escort analog watch men boy flaunt mantra hit street style wearing black coloured analog watch men house escort casing add appeal timepiece worn rainy day thanks water resistance upto atm flaunt mantra hit street style wearing black coloured analog watch men house escort casing add appeal timepiece worn rainy day thanks water resistance upto atm,escort analog watch men boy escort analog watch men boy flaunt mantra hit street style wear black colour analog watch men hous escort case add appeal timepiec worn raini day thank water resist upto atm flaunt mantra hit street style wear black colour analog watch men hous escort case add appeal timepiec worn raini day thank water resist upto atm
16,Watches,"Jack klein BlackLed Digital Watch  - For Boys Jack klein BlackLed Digital Watch  - For Boys - Buy Jack klein BlackLed Digital Watch  - For Boys  BlackLed Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",jack klein blackled digital watch boys jack klein blackled digital watch boys jack klein blackled digital watch boys blackled online india great discounts day replacement guarantee,jack klein blackled digital watch boy jack klein blackled digital watch boy jack klein blackled digital watch boy blackled online india great discount day replacement guarantee,jack klein blackl digit watch boy jack klein blackl digit watch boy jack klein blackl digit watch boy blackl onlin india great discount day replac guarante
17,Watches,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women - Buy North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women  IW-005-FK Online at Rs.150 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",north moon silicone ion digital watch boys girls women north moon silicone ion digital watch boys girls women north moon silicone ion digital watch boys girls women online india great discounts day replacement guarantee,north moon silicone ion digital watch boy girl woman north moon silicone ion digital watch boy girl woman north moon silicone ion digital watch boy girl woman online india great discount day replacement guarantee,north moon silicon ion digit watch boy girl women north moon silicon ion digit watch boy girl women north moon silicon ion digit watch boy girl women onlin india great discount day replac guarante
18,Watches,"Franck Bella FB74C Analog Watch  - For Boys, Men Franck Bella FB74C Analog Watch  - For Boys, Men - Buy Franck Bella FB74C Analog Watch  - For Boys, Men  FB74C Online at Rs.780 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",franck bella analog watch boys men franck bella analog watch boys men franck bella analog watch boys men online india great discounts day replacement guarantee,franck bella analog watch boy men franck bella analog watch boy men franck bella analog watch boy men online india great discount day replacement guarantee,franck bella analog watch boy men franck bella analog watch boy men franck bella analog watch boy men onlin india great discount day replac guarante
19,Watches,"Ridas Apl_led_black Apple Shape Digital Watch  - For Boys Ridas Apl_led_black Apple Shape Digital Watch  - For Boys - Buy Ridas Apl_led_black Apple Shape Digital Watch  - For Boys  Apl_led_black Online at Rs.249 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",ridas apple shape digital watch boys ridas apple shape digital watch boys ridas apple shape digital watch boys online india great discounts day replacement guarantee,ridas apple shape digital watch boy ridas apple shape digital watch boy ridas apple shape digital watch boy online india great discount day replacement guarantee,rida appl shape digit watch boy rida appl shape digit watch boy rida appl shape digit watch boy onlin india great discount day replac guarante
20,Watches,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys - Buy Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys  AD1057-Dark-Orange Online at Rs.1199 in India Only at Flipkart.com. Digital Chronograph, Alarm Watch, Light Function, Date & Month Display - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",skmei sports watch men boys skmei sports watch men boys skmei sports watch men boys online india digital chronograph alarm watch light function date month display great discounts day replacement guarantee,skmei sport watch men boy skmei sport watch men boy skmei sport watch men boy online india digital chronograph alarm watch light function date month display great discount day replacement guarantee,skmei sport watch men boy skmei sport watch men boy skmei sport watch men boy onlin india digit chronograph alarm watch light function date month display great discount day replac guarante
21,Watches,"Now SP-ETHNIC Analog Watch  - For Boys Now SP-ETHNIC Analog Watch  - For Boys - Buy Now SP-ETHNIC Analog Watch  - For Boys  SP-ETHNIC Online at Rs.600 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",analog watch boys analog watch boys analog watch boys online india great discounts day replacement guarantee,analog watch boy analog watch boy analog watch boy online india great discount day replacement guarantee,analog watch boy analog watch boy analog watch boy onlin india great discount day replac guarante
22,Watches,"Franck Bella FB127A Analog Watch  - For Boys, Men Franck Bella FB127A Analog Watch  - For Boys, Men - Buy Franck Bella FB127A Analog Watch  - For Boys, Men  FB127A Online at Rs.999 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!",franck bella analog watch boys men franck bella analog watch boys men franck bella analog watch boys men online india great discounts day replacement guarantee,franck bella analog watch boy men franck bella analog watch boy men franck bella analog watch boy men online india great discount day replacement guarantee,franck bella analog watch boy men franck bella analog watch boy men franck bella analog watch boy men onlin india great discount day replac guarante
